,x1,x2,x3,x4,x5,target
0,0.5,0.25,0,0,1,0
1,0.5,0.0,1,0,0,1
2,1.0,1.0,0,0,1,1
3,1.0,0.25,0,0,0,0
4,0.0,0.0,1,0,0,1
5,0.5,0.0,1,0,0,1
6,0.5,1.0,1,0,0,0
7,0.0,0.5,1,0,1,0
8,0.5,0.75,1,1,0,0
9,1.0,1.0,0,1,1,1
10,0.0,0.5,0,1,0,0
11,0.0,1.0,1,1,1,0
12,0.0,0.5,0,0,0,0
13,1.0,0.75,0,1,0,0
14,0.5,0.5,0,1,0,1
15,1.0,1.0,0,1,0,1
16,1.0,1.0,1,1,1,1
17,0.5,0.0,0,0,0,0
18,0.0,1.0,0,1,0,0
19,0.0,1.0,0,0,1,0
20,0.0,1.0,0,0,0,0
21,0.5,0.5,0,0,1,1
22,0.5,0.25,0,1,0,0
23,1.0,0.25,0,1,0,0
24,0.5,0.25,0,1,0,0
25,0.5,0.75,1,0,0,0
26,0.0,0.25,1,0,1,0
27,0.0,0.5,0,0,0,0
28,0.0,1.0,0,1,1,0
29,0.0,0.25,0,0,0,0
30,1.0,0.75,0,1,0,0
31,1.0,0.25,0,1,1,0
32,0.5,0.5,1,1,1,1
33,1.0,0.5,1,1,0,1
34,0.5,0.0,1,1,0,1
35,1.0,0.5,1,1,0,1
36,0.5,1.0,1,0,1,0
37,1.0,0.25,1,0,1,1
38,1.0,0.75,0,1,0,0
39,0.0,1.0,0,1,1,0
40,0.5,0.0,1,0,0,1
41,0.5,0.5,0,0,0,1
42,1.0,0.75,0,0,1,0
43,0.0,0.75,1,0,0,0
44,0.0,0.75,0,1,1,0
45,0.0,0.0,0,0,1,1
46,0.5,0.5,1,0,1,1
47,0.0,0.0,0,0,0,1
48,0.0,1.0,0,0,0,0
49,0.5,0.75,1,1,1,0
50,0.0,0.5,1,0,0,0
51,0.5,0.5,1,1,1,1
52,0.5,1.0,0,0,0,0
53,0.5,0.25,0,1,0,0
54,1.0,0.0,0,0,0,0
55,1.0,1.0,0,0,0,1
56,1.0,0.0,1,0,0,1
57,0.5,0.25,0,0,0,0
58,0.5,1.0,1,1,0,0
59,0.5,0.0,0,0,1,0
60,1.0,0.0,0,1,0,0
61,0.5,0.75,0,1,0,0
62,0.0,0.5,0,1,0,0
63,0.5,1.0,1,0,0,0
64,0.5,0.25,0,0,1,0
65,0.5,0.5,1,1,1,1
66,0.5,1.0,1,0,0,0
67,0.0,0.5,0,1,1,0
68,0.0,0.0,1,0,0,1
69,1.0,0.5,1,0,1,1
70,0.5,0.0,1,0,1,1
71,0.0,1.0,1,0,0,0
72,0.5,0.5,1,0,0,1
73,0.0,0.5,0,0,0,0
