,Unnamed: 0,x1,x2,x3,x4,x5
28004,28004,0.5,1.0,0,0,1
8560,8560,0.0,0.25,1,1,0
15484,15484,0.0,1.0,1,0,0
12531,12531,1.0,0.5,1,0,1
24473,24473,0.5,0.25,0,1,1
14098,14098,1.0,1.0,1,1,0
25647,25647,0.0,0.75,1,0,0
4473,4473,0.5,0.0,1,0,0
9590,9590,0.5,0.25,1,0,0
28703,28703,0.5,1.0,0,1,1
25432,25432,1.0,0.25,0,1,1
11995,11995,1.0,1.0,0,1,0
25725,25725,0.0,0.0,0,0,1
12076,12076,0.5,1.0,1,0,0
29027,29027,1.0,1.0,0,0,1
15746,15746,0.0,0.5,1,1,1
19106,19106,0.5,0.5,0,1,1
1892,1892,1.0,1.0,1,1,1
4163,4163,1.0,0.5,1,1,0
22797,22797,0.5,1.0,0,0,1
25283,25283,1.0,0.0,1,0,0
7275,7275,0.5,1.0,1,1,1
22682,22682,1.0,0.25,1,0,0
27073,27073,1.0,1.0,1,0,0
20093,20093,0.0,0.0,1,1,1
1552,1552,0.0,0.5,0,1,0
23270,23270,0.0,1.0,1,1,0
21822,21822,0.5,1.0,0,0,1
17576,17576,1.0,0.75,1,0,1
5804,5804,0.5,0.0,1,0,1
8894,8894,0.0,1.0,0,0,1
24965,24965,0.0,0.75,0,0,1
11118,11118,1.0,1.0,1,1,1
2211,2211,0.0,1.0,0,1,0
22483,22483,0.0,0.75,1,0,1
26529,26529,1.0,0.25,1,0,0
7725,7725,1.0,0.75,0,1,1
3337,3337,0.5,0.25,0,0,0
856,856,0.0,0.0,1,0,0
13134,13134,0.0,0.75,1,0,0
23507,23507,1.0,0.25,0,0,1
29685,29685,1.0,0.5,1,1,1
7290,7290,1.0,0.25,1,0,0
27439,27439,1.0,0.5,0,1,1
10976,10976,0.0,1.0,0,0,0
8691,8691,0.5,0.0,1,0,1
11932,11932,0.5,0.75,0,1,0
6923,6923,0.5,0.0,0,1,1
18620,18620,0.5,0.25,0,0,1
11156,11156,1.0,0.25,0,0,0
29199,29199,1.0,0.5,0,0,0
15094,15094,0.5,0.25,0,1,0
2311,2311,0.5,0.5,0,1,1
24009,24009,0.0,0.5,0,0,1
28567,28567,1.0,0.25,1,1,0
11316,11316,0.0,0.0,1,1,0
19163,19163,1.0,1.0,0,0,0
875,875,1.0,0.75,1,0,0
18402,18402,1.0,0.5,1,1,0
2819,2819,0.0,0.5,1,0,0
776,776,0.0,1.0,0,1,0
16428,16428,0.0,1.0,1,0,1
19102,19102,0.0,0.0,0,1,0
1574,1574,0.5,0.25,0,1,1
6018,6018,0.5,0.5,0,1,1
13398,13398,0.5,0.25,0,0,0
17094,17094,0.5,0.75,0,1,1
27983,27983,0.5,0.25,0,0,1
12659,12659,0.5,0.75,0,0,0
22725,22725,0.0,1.0,1,1,0
24804,24804,1.0,0.0,0,1,0
14252,14252,0.0,0.25,1,1,0
11655,11655,0.0,0.75,1,0,1
18115,18115,0.5,0.25,1,0,0
5789,5789,0.0,0.25,1,0,1
5034,5034,0.5,0.5,1,0,0
22014,22014,0.0,1.0,0,0,1
585,585,1.0,0.0,1,0,0
8556,8556,0.5,0.0,1,1,0
4021,4021,1.0,0.75,1,0,1
5877,5877,1.0,1.0,0,1,0
16639,16639,0.0,0.25,1,1,0
28423,28423,0.5,1.0,0,0,1
24708,24708,0.0,0.5,1,1,1
14904,14904,0.0,1.0,0,0,0
16528,16528,1.0,0.5,0,1,0
28512,28512,1.0,0.5,0,1,1
22783,22783,0.0,1.0,0,1,0
20055,20055,1.0,0.5,1,1,0
20508,20508,0.0,0.25,1,1,0
4765,4765,0.0,0.75,1,1,1
12231,12231,1.0,0.25,1,0,0
28081,28081,1.0,0.25,0,1,1
25763,25763,1.0,1.0,1,1,0
14923,14923,1.0,0.25,0,1,1
14406,14406,0.0,0.5,1,0,1
23978,23978,1.0,0.75,1,0,0
14785,14785,1.0,1.0,1,0,1
25701,25701,0.5,1.0,1,1,0
15931,15931,0.0,0.0,0,0,0
24458,24458,0.5,0.5,1,1,1
14086,14086,0.0,1.0,1,0,1
14225,14225,1.0,0.5,0,0,1
4680,4680,1.0,0.75,0,1,0
18957,18957,0.5,1.0,0,1,0
27833,27833,0.0,0.5,1,0,1
11729,11729,0.0,0.0,1,0,1
23843,23843,0.0,0.75,0,0,1
14331,14331,0.5,0.5,0,0,1
3202,3202,0.0,0.0,0,1,0
10406,10406,0.0,0.0,0,1,0
20736,20736,1.0,0.25,0,1,1
13319,13319,1.0,0.25,1,1,0
17050,17050,0.0,1.0,1,0,0
16114,16114,1.0,0.5,1,0,0
28724,28724,1.0,0.5,1,1,1
22122,22122,0.5,0.25,0,1,0
21167,21167,0.5,1.0,1,0,0
22633,22633,0.0,0.0,1,0,1
20623,20623,0.5,1.0,0,1,0
28267,28267,1.0,0.75,1,1,0
6896,6896,1.0,0.75,0,1,1
22085,22085,0.0,1.0,0,1,1
8870,8870,1.0,0.5,1,0,0
19133,19133,1.0,0.25,1,0,0
11163,11163,0.0,0.0,1,1,0
5824,5824,1.0,0.0,1,0,1
27782,27782,0.5,0.0,1,1,0
26840,26840,1.0,0.25,0,0,0
17561,17561,1.0,1.0,1,0,0
14998,14998,0.0,1.0,0,0,0
20326,20326,0.5,0.75,1,0,0
10851,10851,0.5,0.0,0,1,0
26097,26097,0.5,1.0,0,0,1
13304,13304,0.0,0.75,1,1,1
23030,23030,1.0,0.0,0,0,0
3267,3267,0.5,0.0,0,1,0
15307,15307,1.0,1.0,0,1,0
16023,16023,0.5,1.0,1,0,1
15636,15636,0.5,0.0,0,1,0
4819,4819,1.0,0.5,1,1,1
2285,2285,0.0,0.25,1,0,1
25750,25750,1.0,0.25,0,0,1
0,0,0.0,0.75,1,0,1
26775,26775,1.0,0.25,0,0,1
24834,24834,0.5,0.5,1,1,1
17861,17861,1.0,1.0,1,1,1
2438,2438,1.0,0.25,0,1,1
17548,17548,1.0,0.25,0,0,1
5299,5299,1.0,0.5,1,0,0
10220,10220,0.5,1.0,1,0,0
11110,11110,0.0,0.25,0,1,1
14765,14765,1.0,0.5,1,1,0
16364,16364,0.5,0.75,0,1,0
1481,1481,0.5,1.0,0,1,0
2220,2220,0.5,0.5,1,1,1
9834,9834,0.0,1.0,0,1,1
11531,11531,1.0,1.0,1,0,1
1328,1328,0.0,0.75,1,0,1
23905,23905,0.0,1.0,1,0,0
16893,16893,0.5,0.0,1,1,0
23626,23626,0.5,0.0,1,0,1
574,574,0.0,0.5,0,0,0
26940,26940,0.5,0.25,1,0,0
3347,3347,0.0,1.0,0,1,0
4894,4894,0.5,1.0,0,0,1
12314,12314,0.5,1.0,0,0,0
3976,3976,0.5,0.25,0,1,1
20300,20300,0.0,1.0,0,1,1
3317,3317,1.0,0.5,0,0,1
